02/01 18:23:04 [INFO]   [ThisWorkbook]                  [Open] - Abriendo Workbook Libro1.xlsm
02/01 18:23:05 [INFO]   [modUTILSProcedureParsing]      [ParsearProcs] - 806 procedimientos encontrados.
02/01 18:23:05 [INFO]   [modAPPUDFsRegistration]        [AutoRegistrarTodasLasUDFs] - 65 funciones registradas correctamente.
02/01 18:23:05 [INFO]   [clsApplication]                [Class_Initialize] - Iniciando aplicacion
02/01 18:23:05 [INFO]   [clsExecutionContext]           [Initialize] - Suscrito a eventos de Application
02/01 18:23:05 [INFO]   [clsChartMgr]                   [Class_Initialize]
02/01 18:23:05 [INFO]   [clsChartMgr]                   [Class_Initialize]
02/01 18:23:05 [INFO]   [clsChartMgr]                   [Initialize] - Suscrito a eventos de Application
02/01 18:23:05 [INFO]   [clsFileManager]                [Class_Initialize]
02/01 18:23:05 [INFO]   [clsFileManager]                [Init]
02/01 18:23:05 [INFO]   [clsFileXLS]                    [BindTo] Asociado a: C:\abc compressors\2-0-OPORTUNIDADES\_MIS scripts\git_claude\claude-vba-excel-abc\claude-mirror__GITHUB_TMP\bkp\Libro1.xlsm (key: 2525553360256)
02/01 18:23:05 [DEBUG]  [clsFileManager]                [GetOrTrackWorkbook] Nuevo archivo tracked: C:\abc compressors\2-0-OPORTUNIDADES\_MIS scripts\git_claude\claude-vba-excel-abc\claude-mirror__GITHUB_TMP\bkp\Libro1.xlsm (total: 1)
02/01 18:23:05 [INFO]   [clsFileManager]                [Init] Workbooks tracked: 1
02/01 18:23:05 [INFO]   [clsOpportunitiesMgr]           [Class_Initialize]
02/01 18:23:05 [INFO]   [clsConfiguration]              [Class_Initialize]
02/01 18:23:05 [INFO]   [clsConfiguration]              [CargarConfiguracionDesdeRegistro] - inicializacion de todas las rutas desde registro o valores por defecto
02/01 18:23:05 [DEBUG]  [clsConfiguration]              [ObtenerRuta] - ruta leida del registro: C:\abc compressors\INTRANET\OilGas\3_OFERTAS\OFERTAS\2026\41 - SER
